qid,label
q10517054,Cultural Representative
q18127,Cultural Exclusive
q202866,Cultural Representative
q23413,Cultural Exclusive
q2490224,Cultural Representative
q64578911,Cultural Exclusive
q20860083,Cultural Exclusive
q5107,Cultural Representative
q82794,Cultural Representative
q1914636,Cultural Agnostic
q334166,Cultural Agnostic
q811102,Cultural Representative
q477298,Cultural Representative
q620591,Cultural Representative
q7075402,Cultural Representative
q713623,Cultural Agnostic
q122985379,Cultural Representative
q1641122,Cultural Exclusive
q1331793,Cultural Exclusive
q186165,Cultural Exclusive
q6881511,Cultural Exclusive
q4182287,Cultural Exclusive
q783794,Cultural Exclusive
q40050,Cultural Representative
q56055944,Cultural Agnostic
q11862829,Cultural Agnostic
q112231559,Cultural Exclusive
q11488158,Cultural Agnostic
q12737077,Cultural Agnostic
q20827480,Cultural Agnostic
q10675206,Cultural Agnostic
q1799072,Cultural Agnostic
q47728,Cultural Agnostic
q2915955,Cultural Agnostic
q5303685,Cultural Agnostic
q1123037,Cultural Exclusive
q788460,Cultural Exclusive
q105543609,Cultural Exclusive
q55488,Cultural Exclusive
q1339195,Cultural Exclusive
q12819564,Cultural Exclusive
q820477,Cultural Exclusive
q740752,Cultural Exclusive
q532,Cultural Exclusive
q685309,Cultural Exclusive
q123705,Cultural Exclusive
q15042037,Cultural Exclusive
q207694,Cultural Representative
q1200701,Cultural Representative
q2668072,Cultural Representative
q746549,Cultural Representative
q105763925,Cultural Exclusive
q380829,Cultural Exclusive
q109734237,Cultural Agnostic
q12684,Cultural Representative
q4442611,Cultural Representative
q1787375,Cultural Exclusive
q561068,Cultural Exclusive
q5737899,Cultural Representative
q1781513,Cultural Agnostic
q2355817,Cultural Agnostic
q751876,Cultural Representative
q1686006,Cultural Representative
q17376093,Cultural Exclusive
q215380,Cultural Exclusive
q4220920,Cultural Agnostic
q66715801,Cultural Agnostic
q16521,Cultural Agnostic
q4894405,Cultural Agnostic
q223642,Cultural Agnostic
q2445904,Cultural Agnostic
q206615,Cultural Agnostic
q59152282,Cultural Representative
q166142,Cultural Representative
q841645,Cultural Representative
q620615,Cultural Representative
q10931,Cultural Representative
q13418847,Cultural Representative
q119328980,Cultural Representative
q5193493,Cultural Representative
q51041800,Cultural Representative
q895526,Cultural Representative
q45971958,Cultural Agnostic
q349,Cultural Agnostic
q234460,Cultural Exclusive
q45594,Cultural Representative
q22811234,Cultural Agnostic
q26971562,Cultural Representative
q10541491,Cultural Representative
q60147807,Cultural Agnostic
q1344963,Cultural Agnostic
q43229,Cultural Agnostic
q13219666,Cultural Representative
q18608583,Cultural Representative
q968159,Cultural Representative
q19861951,Cultural Representative
q749316,Cultural Representative
q32880,Cultural Representative
q1802587,Cultural Exclusive
q63187384,Cultural Representative
q124467322,Cultural Representative
q2500378,Cultural Exclusive
q15711797,Cultural Exclusive
q778575,Cultural Representative
q891723,Cultural Representative
q116474095,Cultural Representative
q1418640,Cultural Exclusive
q41773366,Cultural Exclusive
q1478437,Cultural Representative
q268592,Cultural Agnostic
q2142903,Cultural Agnostic
q2467478,Cultural Agnostic
q7748,Cultural Exclusive
q19464263,Cultural Exclusive
q16335296,Cultural Agnostic
q200250,Cultural Representative
q1066984,Cultural Representative
q515,Cultural Representative
q208511,Cultural Representative
q174844,Cultural Representative
q51929311,Cultural Representative
q108178728,Cultural Representative
q621993,Cultural Agnostic
q209928,Cultural Representative
q1192063,Cultural Representative
q627436,Cultural Representative
q31629,Cultural Agnostic
q114962596,Cultural Agnostic
q162875,Cultural Exclusive
q1115221,Cultural Exclusive
q189819,Cultural Exclusive
q26213387,Cultural Agnostic
q17431399,Cultural Representative
q868557,Cultural Exclusive
q107655869,Cultural Exclusive
q6055843,Cultural Agnostic
q21114848,Cultural Agnostic
q10383930,Cultural Agnostic
q15839299,Cultural Exclusive
q1040689,Cultural Agnostic
q110401222,Cultural Representative
q49773,Cultural Representative
q16334295,Cultural Representative
q3516833,Cultural Agnostic
q385378,Cultural Agnostic
q375336,Cultural Exclusive
q100663018,Cultural Representative
q15711870,Cultural Representative
q123126876,Cultural Representative
q21114371,Cultural Representative
q17279032,Cultural Representative
q599151,Cultural Representative
q132364,Cultural Agnostic
q294414,Cultural Agnostic
q2612572,Cultural Agnostic
q58051350,Cultural Agnostic
q111972893,Cultural Agnostic
q70208,Cultural Exclusive
q19730508,Cultural Exclusive
q270791,Cultural Exclusive
q15265344,Cultural Exclusive
q378427,Cultural Exclusive
q209495,Cultural Exclusive
q1493054,Cultural Agnostic
q131207,Cultural Agnostic
q201676,Cultural Agnostic
q28468127,Cultural Representative
q117599782,Cultural Representative
q570116,Cultural Representative
q214609,Cultural Agnostic
q103112098,Cultural Representative
q721830,Cultural Exclusive
q5009242,Cultural Exclusive
q1021645,Cultural Representative
q2319498,Cultural Representative
q109852002,Cultural Agnostic
q3624078,Cultural Representative
q1520223,Cultural Representative
q6256,Cultural Representative
q24699794,Cultural Exclusive
q1428660,Cultural Agnostic
q24034076,Cultural Representative
q32090,Cultural Representative
q169336,Cultural Agnostic
